NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM,VENTA_NETA,OFERTA_ID_NUM,PROMO_FLAG,PRECIO_UNITARIO_NETO
4384,2026-01-01,1,4,0,86,1,309,0.293,16900,0.0,1,16900.0,0,0,57679.180887372015
4392,2026-01-01,1,4,251106,72,1,310,0.692,22770,2530.0,1,20240.0,251106,1,29248.5549132948
4408,2026-01-01,1,4,0,2,1,108,0.588,22040,0.0,1,22040.0,0,0,37482.99319727891
4423,2026-01-01,1,4,0,311,1,90,0.468,10990,0.0,1,10990.0,0,0,23482.90598290598
4433,2026-01-01,1,4,0,312,1,299,0.736,27990,0.0,1,27990.0,0,0,38029.891304347824
4470,2026-01-01,1,4,0,222,1,13,0.321,1200,0.0,1,1200.0,0,0,3738.3177570093458
4502,2026-01-01,1,4,0,63,1,313,0.592,36190,0.0,1,36190.0,0,0,61131.75675675676
4516,2026-01-01,1,4,0,20,1,314,0.611,13890,0.0,1,13890.0,0,0,22733.224222585926
4523,2026-01-01,1,4,0,212,1,315,0.432,19200,0.0,1,19200.0,0,0,44444.444444444445
4524,2026-01-01,1,4,0,93,1,7,0.984,30450,0.0,1,30450.0,0,0,30945.121951219513
4532,2026-01-01,1,4,0,316,1,317,4.53,17990,0.0,1,17990.0,0,0,3971.3024282560705
4538,2026-01-01,1,4,0,212,1,318,0.185,13900,0.0,1,13900.0,0,0,75135.13513513513
4541,2026-01-01,1,4,0,251,1,102,0.298,12400,0.0,1,12400.0,0,0,41610.73825503356
4543,2026-01-01,1,4,0,178,1,319,0.344,32400,0.0,1,32400.0,0,0,94186.04651162791
4552,2026-01-01,1,4,0,16,1,124,0.788,8250,0.0,1,8250.0,0,0,10469.543147208122
4618,2026-01-01,1,4,0,289,1,320,0.195,11990,0.0,1,11990.0,0,0,61487.179487179485
4634,2026-01-01,1,4,0,261,1,321,0.74,20900,0.0,1,20900.0,0,0,28243.243243243243
4654,2026-01-01,1,4,0,167,1,322,0.296,17990,0.0,1,17990.0,0,0,60777.02702702703
4661,2026-01-01,1,4,260055,286,1,189,0.991,14990,5190.0,1,9800.0,260055,1,9889.001009081736
4675,2026-01-01,1,4,0,91,1,323,1.161,38500,0.0,1,38500.0,0,0,33161.068044788975
